Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms)
5/27/2025,46,2862.0131870565688,1934.7219709935887,2,2,67.225,107,46,0.3994406679857647,1.4564605299979938,0.25435931729012684,3130,,,,,929,16754642,,
5/28/2025,54,1903.9942165193554,3689.6723553693528,40,40,,,,0.47791353524006763,1.4847150229533361,0.2723671067822726,5415,,,,,1306,3110112,,
5/29/2025,13,1733.2360171320856,646.719382222472,2,2,,,,0.3694748917992869,1.3912040298025696,0.29331842268860125,1131,,,,,,678097,,
5/30/2025,30,1748.9611537903952,1029.6719077924874,,,,,,0.4699063711704689,1.3144913791702515,0.2514157908759439,1858,,,,,,902061,,
5/31/2025,98,2026.3984713039654,5397.602028402947,33,33,,,,0.5814991928186828,1.454453180332724,0.25757169229861737,8619,,,,,,4853446,,
6/1/2025,47,1845.4739884381263,2374.0691174878284,3,3,,,,0.5954284904742624,1.3177017215007973,0.2507475884983583,3937,,,,,,2276640,,
6/2/2025,107,2041.3367549817124,2460.0144900364307,58,58,,,,0.3861434344874088,1.3960073897909064,0.25874935326561377,6104,,,,1586946,,3248201,,
6/3/2025,29,1753.3672025959054,1345.7082407253079,3,3,,,,0.3700901795626437,1.3682883623606223,0.24755577422338515,2168,,,,,,964814,,
6/4/2025,26,1740.285417302162,1254.5717579659206,4,4,,,,0.4865702141421206,1.6257652283380097,0.26189144882910825,2430,,,,,,778498,,
6/5/2025,70,2031.5733153763185,2870.3490849896534,5,5,,,,0.4630513081654781,1.8745565961303057,0.2514157908759439,4646,,,,,,1674268,1449438,
6/6/2025,114,2172.3634789878497,10624.807414853534,107,107,,,,0.525578829076733,1.9330601169493613,0.10850258080153191,13024,,,,,1367,6735022,,
6/7/2025,57,1862.1461795795533,3762.1224893850936,24,24,,,,0.44428963453569625,1.5246098466878795,0.2514157908759439,5858,,,,,,2514093,,
6/8/2025,12,1725.2543537662864,650.2121713707833,3,3,,,,0.46034169501324146,1.4068859526213946,0.28284276473543696,1156,,,,,,564418,,
6/9/2025,31,1793.757622791164,913.8685500412494,17,17,,,,0.42271034436459826,1.3737037976297384,0.2514157908759439,1525,,,,858530,,623802,,
6/10/2025,55,1781.6935591226788,1927.9359971545668,3,3,,,,0.563673033080792,1.2986101753796988,0.2534234164011966,3238,,,,,,1175270,85989,
6/11/2025,79,2014.4648042149208,1391.630420188959,50,50,,,,0.40580200023034657,1.5307709326346908,0.3003560167628732,2422,,,,2841442,,1650936,,
6/12/2025,77,1833.920206656705,4166.146321891654,28,28,,,,0.4240606744290281,1.6565667018469143,0.24706741838046653,6519,,,,,,2112087,,
6/13/2025,26,1804.3370725537065,1119.477772316752,14,14,,,,0.4210916811027243,1.4062103048309775,0.2514157908759439,2297,,,,,,1647183,,
6/14/2025,5,1697.0420651977709,201.57471088261514,,,,,,0.6141371523965082,1.1536454274680088,0.2514157908759439,483,,,,,,162607,,
